"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-29,"UDEP-02 Colon","Mall Multiplaza hasta el parque central Tocoa","Tocoa","Atlantida","Pacifica","300","Si","Marcha pacífica de los seguidores del Partido Alianza",6,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-85.9968479,15.6576354,"15.6576354,-85.9968479"
2017-11-29,"UDEP-05 Cortes","Colonia Omonita","San Manuel","Cortes","Pacifica","200","Si","Simpatizantes de la Alianza manifestaron que si el TSE no declara ganador a su candidato cerrarán la salida de combustible",61,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-29,"UDEP-03 Comayagua","Peaje de Siguatepeque carretera CA 5","Comayagua","Comayagua","Pacifica","500","Si","Simpatizantes de la Alianza dieron paso libre a vehiculos para que no pagaran y explotaron cohetes",35,0,"No","Simpatizantes de la Alianza de Oposicion","Pacifico",-87.6482474,14.4490149,"14.4490149,-87.6482474"
2017-11-29,"UDEP-07 El Paraiso","Carretera Panamericana altura de 110 Brigada de Infantería","El Paraiso","El Paraiso","Pacifica","1,200","Si","Simpatizantes de la Alianza exigiendo al TSE que reconozca el triunfo del presidenciable Salvador Nasralla",3,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-91.7161718,41.9512801,"41.9512801,-91.7161718"
2017-11-29,"UDEP-12 La Paz","Barrio El Centro","Marcala","La Paz","Pacifica","30","Si","Simpatizantes de la Alianza defenderán los votos de la ciudadanía a favor del Ingeniero Nasralla",3,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-88.0363086,14.1560521,"14.1560521,-88.0363086"
2017-11-29,"UDEP-14 Ocotepeque","Barrio El Centro","Sensenti","Ocotepeque","Pacifica","200","Si","Simpatizantes de la Alianza hicieron un recorrido por la calle principal y carretera internacional CA-4 hasta llegar a San Marcos, Ocotepeque",11,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-88.9377949,14.4976052,"14.4976052,-88.9377949"
2017-11-29,"UDEP-15 Olancho","Colonia El Hatillo a la altura del puente","Catacamas","Olancho","Pacifica","200","Si","Simpatizantes de la Alianza tomaron la carretera para protestar por el reconocimiento de la voluntad pueblo hondureño al elegir al Ingenieron Salvador Nasralla",NA,0,"Si","Simpatizantes de la Alianza de Oposicion","Ninguno",-85.8793252,14.8437223,"14.8437223,-85.8793252"
2017-11-29,"UDEP-17 Valle","Barrio El Centro frente a la sede Partido Alianza","Valle","Valle","Pacifica","50","Si","Simpatizantes de la Alianza para que se respete la decisión del pueblo",7,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-76.6412712,3.8008893,"3.8008893,-76.6412712"
2017-11-29,"UMEP-04 Kennedy","frente a las instalaciones de la UNAH","Tegucigalpa","Francisco Morazan","Pacifica","300","No","Protesta de los docentes que participaron ese día en el programa concurso de docentes Francisco Morazán para plazas en la UNAH el 2018 ya que todos salieron reprobados",NA,0,"No","Docentes de la UNAH","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-29,"UDEP-16 Santa Barbara","Aldea San Luis Planes","Santa Barbara","Santa Barbara","Violenta",NA,"Si","Exigen respeto a la candidatura presidencial de Nasarrala",4,2,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-119.6981901,34.4208305,"34.4208305,-119.6981901"
2017-11-29,"UMEP-04 Kennedy","Bulevar FF. AA a la altura del INFOP","Tegucigalpa","Francisco Morazan","Pacifica","200","Si","Simpatizantes del partido político de la Alianza y Libertad y Refundación para que se reconozca el triunfo del candidato Salvador Nasralla",NA,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-29,"UDEP-01 Atlantida","carretera CA-13 a la altura de del Puente del Río San Juan de la Comunidad de San Juan Pueblo","La Masica","Atlantida","Pacifica","200","Si","Simpatizantes de la Alianza exigen al Tribunal Supremo Electoral que reconozca el triunfo del presidenciable Ingeniero Salvador Nasrralla",19,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.0973828,15.6280248,"15.6280248,-87.0973828"
2017-11-30,"UDEP-01 Atlantida","Puente Danto","La Ceiba","Atlantida","Pacifica","100","Si","Simpatizantes del partido político de la Alianza exigen se reconozca el triunfo del Ingeniero Salvador Nasralla",5,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.7919009,15.770288,"15.770288,-86.7919009"
2017-11-30,"UMEP-11 El Progreso","Puente Humuya","Santa Rita","Yoro","Pacifica","50","Si","Habitantes de Santa Rita por desacuerdo político están quemando llantas con gasolina obstaculizando así el tránsito de vehículos en el puente provisional sobre río Humuya",43,0,"Si","Habitantes de Santa Rita","Ninguno",144.7082568,13.3742669,"13.3742669,144.7082568"
2017-11-30,"UDEP-01 Atlantida","Puente Danto CA-13 ","La Ceiba","Atlantida","Pacifica","500","Si","Simpatizantes de la Alianza exigen al Tribunal Supremo Electoral que reconozca el triunfo del presidenciable Ingeniero Salvador Nasrralla",5,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-86.7919009,15.770288,"15.770288,-86.7919009"
2017-11-30,"UDEP-01 Atlantida","la carretera CA-13 a la altura del puente la Másica","La Masica","Atlantida","Pacifica","150","Si","Simpatizantes del partido político de la Alianza exigen se reconozca el triunfo del Ingeniero Salvador Nasralla",9,0,"No","Simpatizantes de la Alianza de Oposicion","Ninguno",-87.0973828,15.6280248,"15.6280248,-87.0973828"
